filename,concept,start_time,start_sec,duration_sec,offset,csv_start_sec
KLQ_5_6_A_blue_sky_Khan04.wav,blue (sky),0:41:00.222,2460.222,0.711,1192.0,1268.222
KLQ_5_7_A_brown_Khan04.wav,brown,0:41:10.000,2470.0,1.106,1192.0,1278.0
KLQ_6_1_A_to_be_born_Khan04.wav,to be born,0:41:52.116,2512.116,1.181,1192.0,1320.116
KLQ_6_2_A_to_wake_up_Khan04.wav,to wake up,0:43:41.395,2621.395,1.545,1192.0,1429.395
KLQ_6_2_B_to_wake_up_Khan04.wav,to wake up,0:44:24.944,2664.944,1.287,1192.0,1472.944
KLQ_6_3_A_to_sleep_Khan04.wav,to sleep,0:44:41.295,2681.295,0.893,1192.0,1489.295
KLQ_6_4_A_to_lie_down_Khan04.wav,to lie down,0:44:51.393,2691.393,1.196,1192.0,1499.393
KLQ_6_4_B_to_lie_down_Khan04.wav,to lie down,0:45:02.466,2702.466,1.287,1192.0,1510.466
KLQ_6_5_A_to_rise_Khan04.wav,to rise,0:45:20.000,2720.0,1.151,1192.0,1528.0
KLQ_6_6_A_to_bathe_immerse_the_whole_body_Khan04.wav,to bathe (immerse the whole body),0:45:29.630,2729.63,1.499,1192.0,1537.63
KLQ_6_7_A_to_wash_Khan04.wav,to wash,0:45:40.953,2740.953,1.046,1192.0,1548.953
KLQ_6_8_A_to_buy_Khan04.wav,to buy,0:45:50.405,2750.405,1.272,1192.0,1558.405
KLQ_6_9_A_to_sell_Khan04.wav,to sell,0:46:01.838,2761.838,1.166,1192.0,1569.838
KLQ_6_1_A_to_remember_Khan04.wav,to remember,0:46:26.645,2786.645,1.354,1192.0,1594.645
KLQ_6_11_A_to_forget_Khan04.wav,to forget,0:46:43.519,2803.519,1.605,1192.0,1611.519
KLQ_6_12_A_to_search_Khan04.wav,to search,0:47:02.000,2822.0,1.325,1192.0,1630.0
KLQ_6_14_A_to_speak_Khan04.wav,to speak,0:47:09.460,2829.46,1.211,1192.0,1637.46
KLQ_6_15_A_to_grow_up_Khan04.wav,to grow up,0:47:20.199,2840.199,1.438,1192.0,1648.199
KLQ_7_1_A_to_go_Khan04.wav,to go,0:47:38.718,2858.718,0.878,1192.0,1666.718
KLQ_7_2_A_to_come_Khan04.wav,to come,0:47:45.840,2865.84,0.984,1192.0,1673.84
KLQ_7_3_A_go_Khan04.wav,go!,0:47:56.000,2876.0,0.773,1192.0,1684.0
KLQ_7_4_A_come_here_Khan04.wav,come here!,0:48:08.638,2888.638,1.361,1192.0,1696.638
KLQ_7_5_A_to_return_Khan04.wav,to return,0:50:32.822,3032.822,1.014,1192.0,1840.822
KLQ_7_6_A_to_stop_Khan04.wav,to stop,0:50:45.358,3045.358,0.939,1192.0,1853.358
KLQ_7_7_A_to_enter_Khan04.wav,to enter,0:50:57.219,3057.219,1.196,1192.0,1865.219
KLQ_7_8_A_to_reach_arrive_Khan04.wav,"to reach, arrive",0:51:07.266,3067.266,1.105,1192.0,1875.266
KLQ_7_9_A_to_run_Khan04.wav,to run,0:51:17.688,3077.688,1.469,1192.0,1885.688
KLQ_7_9_B_to_run_Khan04.wav,to run,0:51:33.819,3093.819,0.939,1192.0,1901.819
KLQ_7_1_A_to_walk_Khan04.wav,to walk,0:51:48.345,3108.345,1.151,1192.0,1916.345
KLQ_7_11_A_to_approach_Khan04.wav,to approach,0:52:00.847,3120.847,1.302,1192.0,1928.847
KLQ_7_12_A_to_fly_Khan04.wav,to fly,0:52:12.656,3132.656,1.343,1192.0,1940.656
KLQ_7_13_A_to_jump_Khan04.wav,to jump,0:52:31.653,3151.653,0.969,1192.0,1959.653
KLQ_7_14_A_to_pull_Khan04.wav,to pull,0:52:58.428,3178.428,1.242,1192.0,1986.428
KLQ_7_14_B_to_pull_Khan04.wav,to pull,0:53:19.332,3199.332,1.257,1192.0,2007.332
KLQ_7_15_A_to_push_Khan04.wav,to push,0:53:26.240,3206.24,1.257,1192.0,2014.24
KLQ_7_15_B_to_push_Khan04.wav,to push,0:53:35.754,3215.754,1.499,1192.0,2023.754
KLQ_8_1_A_to_see_Khan04.wav,to see,0:53:44.859,3224.859,1.14,1192.0,2032.859
KLQ_8_3_A_to_hear_Khan04.wav,to hear,0:54:24.533,3264.533,1.211,1192.0,2072.533
KLQ_8_4_A_to_listen_to_Khan04.wav,to listen to,0:54:26.214,3266.214,1.075,1192.0,2074.214
KLQ_8_5_A_to_understand_Khan04.wav,to understand,0:54:51.209,3291.209,1.045,1192.0,2099.209
KLQ_8_6_A_to_smell_eg_I_can_smell_the_food_that_is_Khan04.wav,to smell (e.g. I can smell the food that is cooking),0:54:58.500,3298.5,1.348,1192.0,2106.5
KLQ_9_1_A_to_kill_Khan04.wav,to kill,0:55:10.330,3310.33,0.999,1192.0,2118.33
KLQ_9_2_A_to_hit_Khan04.wav,to hit,0:55:42.978,3342.978,1.287,1192.0,2150.978
KLQ_9_3_A_to_cut_Khan04.wav,to cut,0:55:57.450,3357.45,0.833,1192.0,2165.45
KLQ_9_4_A_to_scratch_your_own_body_Khan04.wav,to scratch (your own body),0:56:11.527,3371.527,1.196,1192.0,2179.527
KLQ_9_5_A_to_slap_Khan04.wav,to slap,0:56:21.700,3381.7,1.226,1192.0,2189.7
KLQ_9_5_B_to_slap_Khan04.wav,to slap,0:56:35.633,3395.633,1.181,1192.0,2203.633
KLQ_9_6_A_to_knock_at_the_door_Khan04.wav,to knock (at the door),0:57:10.772,3430.772,1.378,1192.0,2238.772
KLQ_9_7_A_to_bite_Khan04.wav,to bite,0:57:21.162,3441.162,1.272,1192.0,2249.162
KLQ_9_8_A_to_sting_a_bee_stung_the_child_Khan04.wav,to sting (a bee stung the child),0:57:54.559,3474.559,1.075,1192.0,2282.559
KLQ_9_9_A_to_tear_the_child_will_tear_the_paper_Khan04.wav,to tear (the child will tear the paper),0:58:04.617,3484.617,1.03,1192.0,2292.617
KLQ_9_1_A_to_destroy_the_police_destroyed_the_hous_Khan04.wav,to destroy (the police destroyed the house),0:58:16.886,3496.886,1.113,1192.0,2304.886
KLQ_10_3_A_inside_the_box_Khan04.wav,inside the box,0:58:39.797,3519.797,1.605,1192.0,2327.797
KLQ_10_4_A_outside_Khan04.wav,outside,0:58:55.434,3535.434,1.12,1192.0,2343.434
KLQ_10_5_A_up_look_up_Khan04.wav,up (look up!),0:59:08.155,3548.155,0.787,1192.0,2356.155
KLQ_10_6_A_above_a_cloud_is_above_the_mountain_Khan04.wav,above (a cloud is above the mountain),0:59:40.474,3580.474,1.211,1192.0,2388.474
KLQ_10_7_A_down_look_down_Khan04.wav,down (look down!),0:59:57.601,3597.601,0.787,1192.0,2405.601
