filename,concept,start_time,start_sec,duration_sec,offset,csv_start_sec
KLQ_1_1_A_hair_Fail02.wav,hair,0:06:05.105,365.105,0.894,335.0,30.105
KLQ_1_2_A_forehead_Fail02.wav,forehead,0:06:17.465,377.465,1.019,335.0,42.465
KLQ_1_3_A_eyelid_Fail02.wav,eyelid,0:06:53.701,413.701,1.133,335.0,78.701
KLQ_1_4_A_eyebrow_Fail02.wav,eyebrow,0:07:00.396,420.396,0.741,335.0,85.396
KLQ_1_5_A_nose_Fail02.wav,nose,0:07:19.391,439.391,0.69,335.0,104.391
KLQ_1_6_A_earlobe_Fail02.wav,earlobe,0:07:46.168,466.168,1.831,335.0,131.168
KLQ_1_7_A_elbow_Fail02.wav,elbow,0:08:18.875,498.875,1.349,335.0,163.875
KLQ_1_8_A_armpit_Fail02.wav,armpit,0:08:50.364,530.364,1.143,335.0,195.364
KLQ_1_9_A_stomach_Fail02.wav,stomach,0:09:29.726,569.726,0.731,335.0,234.726
KLQ_1_11_A_uterus_Fail02.wav,uterus,0:10:02.497,602.497,0.731,335.0,267.497
KLQ_1_13_A_ankle_Fail02.wav,ankle,0:12:37.888,757.888,0.782,335.0,422.888
KLQ_2_1_A_father_Fail02.wav,father,0:13:27.267,807.267,0.855,335.0,472.267
KLQ_2_2_A_mother_Fail02.wav,mother,0:13:47.442,827.442,0.762,335.0,492.442
KLQ_2_3_A_father_vocative_Fail02.wav,father (vocative),0:14:14.568,854.568,0.999,335.0,519.568
KLQ_2_4_A_mother_vocative_Fail02.wav,mother (vocative),0:14:40.779,880.779,0.648,335.0,545.779
KLQ_2_5_A_sister_Fail02.wav,sister,0:15:08.795,908.795,0.762,335.0,573.795
KLQ_2_6_A_grandfather_Fail02.wav,grandfather,0:15:29.564,929.564,0.793,335.0,594.564
KLQ_2_7_A_daughter_girl_Fail02.wav,"daughter, girl",0:15:52.596,952.596,0.865,335.0,617.596
KLQ_2_8_A_baby_Fail02.wav,baby,0:16:27.347,987.347,0.751,335.0,652.347
KLQ_2_9_A_paternal_uncle_Fail02.wav,paternal uncle,0:16:57.616,1017.616,0.824,335.0,682.616
KLQ_2_1_A_maternal_uncle_Fail02.wav,maternal uncle,0:17:09.894,1029.894,0.896,335.0,694.894
KLQ_2_11_A_paternal_aunt_Fail02.wav,paternal aunt,0:17:30.872,1050.872,0.844,335.0,715.872
KLQ_2_12_A_maternal_aunt_Fail02.wav,maternal aunt,0:17:49.217,1069.217,0.885,335.0,734.217
KLQ_2_13_A_paternal_uncles_son_Fail02.wav,paternal uncle’s son,0:18:02.919,1082.919,0.916,335.0,747.919
KLQ_2_14_A_maternal_aunts_daughter_Fail02.wav,maternal aunt’s daughter,0:18:08.697,1088.697,0.988,335.0,753.697
KLQ_2_15_A_brother_of_husband_Fail02.wav,brother of husband,0:18:29.389,1109.389,0.988,335.0,774.389
KLQ_2_15_B_brother_of_husband_Fail02.wav,brother of husband,0:18:34.400,1114.4,0.686,335.0,779.4
KLQ_2_16_A_wife_of_brother_Fail02.wav,wife of brother,0:18:54.432,1134.432,0.896,335.0,799.432
KLQ_2_17_A_sister_of_husband_Fail02.wav,sister of husband,0:19:04.120,1144.12,0.535,335.0,809.12
KLQ_2_18_A_brother_of_wife_Fail02.wav,brother of wife,0:19:49.834,1189.834,0.978,335.0,854.834
KLQ_2_19_A_sister_of_wife_Fail02.wav,sister of wife,0:20:03.586,1203.586,0.809,335.0,868.586
KLQ_2_2_A_son_of_sister_Fail02.wav,son of sister,0:20:36.582,1236.582,0.917,335.0,901.582
KLQ_2_21_A_daughter_of_sister_Fail02.wav,daughter of sister,0:20:37.712,1237.712,0.71,335.0,902.712
KLQ_2_22_A_son_of_brother_Fail02.wav,son of brother,0:21:00.326,1260.326,0.722,335.0,925.326
KLQ_2_23_A_daughter_of_brother_Fail02.wav,daughter of brother,0:21:02.137,1262.137,0.739,335.0,927.137
KLQ_2_24_A_step-father_Fail02.wav,step-father,0:21:28.598,1288.598,0.901,335.0,953.598
KLQ_2_25_A_step-mother_Fail02.wav,step-mother,0:21:52.716,1312.716,0.85,335.0,977.716
KLQ_2_26_A_step-son_Fail02.wav,step-son,0:22:53.760,1373.76,0.92,335.0,1038.76
KLQ_2_27_A_step-daughter_Fail02.wav,step-daughter,0:23:17.816,1397.816,0.683,335.0,1062.816
KLQ_2_28_A_child_of_ones_daughter_Fail02.wav,child of one’s daughter,0:24:42.442,1482.442,1.228,335.0,1147.442
KLQ_2_29_A_child_of_ones_son_Fail02.wav,child of one’s son,0:25:36.264,1536.264,0.867,335.0,1201.264
KLQ_3_1_A_rain_Fail02.wav,rain,0:26:04.000,1564.0,0.56,335.0,1229.0
KLQ_3_2_A_thunder_Fail02.wav,thunder,0:26:27.126,1587.126,0.803,335.0,1252.126
KLQ_3_4_A_snow_Fail02.wav,snow,0:27:49.500,1669.5,0.601,335.0,1334.5
KLQ_3_5_A_ice_Fail02.wav,ice,0:28:52.448,1732.448,0.551,335.0,1397.448
KLQ_3_6_A_hail_Fail02.wav,hail,0:29:10.655,1750.655,0.547,335.0,1415.655
KLQ_3_6_B_hail_Fail02.wav,hail,0:29:12.297,1752.297,0.623,335.0,1417.297
KLQ_3_7_A_wind_Fail02.wav,wind,0:29:23.710,1763.71,0.71,335.0,1428.71
KLQ_3_1_A_shade_Fail02.wav,shade,0:30:05.183,1805.183,0.669,335.0,1470.183
KLQ_3_11_A_God_Fail02.wav,God,0:30:26.747,1826.747,0.553,335.0,1491.747
KLQ_3_13_A_hill_Fail02.wav,hill,0:31:18.436,1878.436,0.563,335.0,1543.436
KLQ_3_14_A_salt_Fail02.wav,salt,0:31:41.943,1901.943,0.556,335.0,1566.943
KLQ_4_1_A_big_Fail02.wav,big,0:32:10.371,1930.371,0.628,335.0,1595.371
KLQ_4_2_A_small_Fail02.wav,small,0:32:22.439,1942.439,0.856,335.0,1607.439
KLQ_4_3_A_long_Fail02.wav,long,0:32:34.700,1954.7,0.658,335.0,1619.7
KLQ_4_4_A_short_Fail02.wav,short,0:32:47.436,1967.436,0.5,335.0,1632.436
KLQ_4_5_A_high_Fail02.wav,high,0:32:53.696,1973.696,0.559,335.0,1638.696
KLQ_4_7_A_wide_road_Fail02.wav,wide (road),0:34:07.500,2047.5,0.5,335.0,1712.5
KLQ_4_8_A_narrow_road_Fail02.wav,narrow (road),0:34:14.202,2054.202,0.5,335.0,1719.202
KLQ_4_6_A_low_wall_Fail02.wav,low (wall),0:36:00.174,2160.174,0.718,335.0,1825.174
KLQ_4_9_A_fat_man_Fail02.wav,fat (man),0:36:29.180,2189.18,0.621,335.0,1854.18
KLQ_4_1_A_thin_man_Fail02.wav,thin (man),0:36:49.099,2209.099,0.632,335.0,1874.099
KLQ_4_11_A_thick_stick_Fail02.wav,thick (stick),0:37:10.940,2230.94,0.5,335.0,1895.94
KLQ_4_12_A_thin_stick_Fail02.wav,thin (stick),0:37:42.116,2262.116,0.644,335.0,1927.116
KLQ_4_14_A_weak_Fail02.wav,weak,0:38:32.408,2312.408,0.5,335.0,1977.408
KLQ_4_15_A_heavy_Fail02.wav,heavy,0:38:48.912,2328.912,0.644,335.0,1993.912
KLQ_4_16_A_light_Fail02.wav,light,0:41:48.178,2508.178,0.5,335.0,2173.178
KLQ_4_17_A_soft_Fail02.wav,soft,0:42:01.082,2521.082,0.522,335.0,2186.082
KLQ_4_18_A_hard_like_a_stone_opposite_of_soft_Fail02.wav,"hard (like a stone, opposite of soft",0:42:15.881,2535.881,0.544,335.0,2200.881
KLQ_4_19_A_good_Fail02.wav,good,0:42:37.911,2557.911,0.5,335.0,2222.911
KLQ_4_2_A_bad_Fail02.wav,bad,0:42:49.500,2569.5,0.613,335.0,2234.5
KLQ_4_21_A_happy_Fail02.wav,happy,0:43:13.714,2593.714,0.859,335.0,2258.714
KLQ_4_22_A_sad_Fail02.wav,sad,0:43:31.663,2611.663,0.836,335.0,2276.663
KLQ_4_23_A_hungry_Fail02.wav,hungry,0:43:54.717,2634.717,0.587,335.0,2299.717
KLQ_4_24_A_thirsty_Fail02.wav,thirsty,0:44:09.000,2649.0,0.619,335.0,2314.0
KLQ_4_25_A_sweet_Fail02.wav,sweet,0:45:31.417,2731.417,0.583,335.0,2396.417
KLQ_4_26_A_bitter_Fail02.wav,bitter,0:46:03.416,2763.416,0.5,335.0,2428.416
KLQ_4_27_A_wet_Fail02.wav,wet,0:46:11.500,2771.5,0.5,335.0,2436.5
KLQ_4_28_A_dry_land_Fail02.wav,dry (land),0:46:21.070,2781.07,0.5,335.0,2446.07
KLQ_4_29_A_tired_Fail02.wav,tired,0:46:44.406,2804.406,0.691,335.0,2469.406
KLQ_4_3_B_deep_Fail02.wav,deep,0:47:01.887,2821.887,0.5,335.0,2486.887
KLQ_4_3_A_deep_Fail02.wav,deep,0:47:04.289,2824.289,0.501,335.0,2489.289
KLQ_4_31_A_shallow_Fail02.wav,shallow,0:47:23.642,2843.642,0.531,335.0,2508.642
KLQ_4_32_A_pregnant_Fail02.wav,pregnant,0:47:37.288,2857.288,0.876,335.0,2522.288
KLQ_4_33_A_beautiful_Fail02.wav,beautiful,0:48:04.258,2884.258,0.6,335.0,2549.258
KLQ_4_34_A_dirty_Fail02.wav,dirty,0:48:20.060,2900.06,0.591,335.0,2565.06
KLQ_4_35_A_clean_Fail02.wav,clean,0:48:28.275,2908.275,0.509,335.0,2573.275
KLQ_5_1_A_white_Fail02.wav,white,0:48:59.706,2939.706,0.98,335.0,2604.706
KLQ_5_2_A_black_Fail02.wav,black,0:49:14.070,2954.07,0.587,335.0,2619.07
KLQ_5_3_A_red_Fail02.wav,red,0:49:18.324,2958.324,0.527,335.0,2623.324
KLQ_5_4_A_green_grass_Fail02.wav,green (grass),0:49:39.199,2979.199,0.591,335.0,2644.199
KLQ_5_5_A_yellow_Fail02.wav,yellow,0:49:48.943,2988.943,0.596,335.0,2653.943
KLQ_5_6_A_blue_sky_Fail02.wav,blue (sky),0:49:59.000,2999.0,0.5,335.0,2664.0
KLQ_5_7_A_brown_Fail02.wav,brown,0:50:13.307,3013.307,0.565,335.0,2678.307
